Spaxid, N2 flux, N2 S/N, Ha flux, Ha S/N, Hb flux, Hb S/N, O3 flux, O3 S/N, S2 6717 flux, S2 6717 S/N, S2 6731 flux, S2 6731 S/N, Ha EW, AGN Flag 
587725980155183238_30_44,0.221172,18.94948062,0.497552,47.8253549,0.174579,14.82604279,0.0774792,5.426939653,0.113023,16.39030991,0.07463,13.24749897,12.2053, K03_SF 
587725980155183238_31_44,0.228688,16.05647522,0.473521,57.50004158,0.166148,11.89893215,0.0717072,4.947531512,0.107284,15.69145058,0.0820084,11.00090546,12.405, K01_SF 
587725980155183238_32_44,0.201665,13.24805943,0.422099,38.47891998,0.148105,10.7507187,0.0670997,4.061903568,0.102753,16.75434952,0.0779393,9.994864858,9.62934, K01_SF 
587725980155183238_33_44,0.185604,14.40417619,0.384817,40.20964052,0.135023,12.31080746,0.0586543,4.483769075,0.0899358,17.76012964,0.0646423,8.495935757,9.2344, K01_SF 
587725980155183238_34_44,0.169418,16.19123851,0.337702,37.12809572,0.118492,13.76373786,0.0540005,6.894378423,0.076658,16.55641762,0.0555417,8.068119823,10.0335, K01_SF 
587725980155183238_35_44,0.119497,15.20990586,0.26571,33.82381264,0.0932316,11.9284786,0.0355962,3.956697854,0.0613948,14.32802378,0.0436051,9.740648392,9.33732, K03_SF 
587725980155183238_36_44,0.110483,14.81843868,0.269336,34.95143685,0.094504,9.754859413,0.045151,4.365533437,0.0722709,14.71133155,0.0438921,7.188848846,9.48581, K03_SF 
587725980155183238_37_44,0.117142,12.24321288,0.286419,33.18499147,0.100498,7.62821325,0.0338072,2.702336735,0.0741543,8.496372719,0.0469671,6.223754998,10.9168, K03_SF 
587725980155183238_38_44,0.070549,9.042967942,0.227845,29.17366832,0.0799455,8.271936049,0.0210028,2.282854052,0.0482815,7.821446339,0.0346971,6.431059379,11.4501, S06_SF 
587725980155183238_39_44,0.0656144,7.999125096,0.234308,38.96342071,0.0822133,9.626269849,0.0312547,2.735328769,0.0433856,8.009188294,0.0346945,5.992329558,12.8564, S06_SF 
587725980155183238_40_44,0.0787828,7.785735107,0.281899,33.95010197,0.098912,6.872324162,0.0520556,3.481576843,0.0585057,7.990461435,0.0477531,7.554026799,12.2489, S06_SF 
587725980155183238_41_44,0.0789853,6.803798803,0.334596,28.11346794,0.117402,6.200519315,0.0663056,4.589396788,0.0668268,8.365860148,0.0479119,5.567232271,16.9399, S06_SF 
587725980155183238_42_44,0.107737,6.004689873,0.439619,35.8404067,0.154252,5.044358378,0.166439,5.694538056,0.0890701,5.228738399,0.0635945,7.282240071,19.7587, S06_SF 
587725980155183238_43_44,0.0817923,7.610843569,0.265405,20.97259245,0.0931246,4.479064022,0.111529,4.586579097,0.0674375,8.192888022,0.0337915,4.435630935,30.2488, K03_SF 
587725980155183238_44_44,0.0198624,6.35052251,0.0630327,11.43649351,0.0221167,4.428717032,0.0251304,4.573382275,0.0215517,8.316298732,0.00368548,1.183808661,15.8612, K03_SF 
